"","stop","Type"
"274",2,"Permanent"
"275",2,"Permanent"
"276",2,"Permanent"
"277",2,"Permanent"
"278",2,"Permanent"
"279",2,"Permanent"
"280",2,"Permanent"
"281",2,"Permanent"
"282",3,"Permanent"
"283",3,"Permanent"
"284",2,"Permanent"
"285",2,"Permanent"
"286",2,"Permanent"
"287",2,"Permanent"
"288",2,"Permanent"
"289",2,"Permanent"
"290",2,"Permanent"
"291",3,"Permanent"
"292",3,"Permanent"
"293",2,"Permanent"
"294",3,"Permanent"
"295",3,"Permanent"
"296",3,"Permanent"
"297",2,"Permanent"
"298",3,"Permanent"
"299",4,"Permanent"
"300",2,"Permanent"
"301",3,"Permanent"
"302",3,"Permanent"
"303",3,"Permanent"
"304",3,"Permanent"
"305",3,"Permanent"
"306",3,"Permanent"
"307",3,"Permanent"
"308",4,"Permanent"
"309",4,"Permanent"
"310",3,"Permanent"
"311",3,"Permanent"
"312",4,"Permanent"
"313",3,"Permanent"
"314",3,"Permanent"
"315",3,"Permanent"
"316",4,"Permanent"
"317",3,"Permanent"
"318",3,"Permanent"
"319",4,"Permanent"
"320",3,"Permanent"
"321",4,"Permanent"
"322",1,"Street"
"323",1,"Street"
"324",1,"Street"
"325",1,"Street"
"326",1,"Street"
"327",1,"Street"
"328",1,"Street"
"329",1,"Street"
"330",1,"Street"
"331",1,"Street"
"332",1,"Street"
"333",1,"Street"
"334",1,"Street"
"335",1,"Street"
"336",2,"Street"
"337",1,"Street"
"338",1,"Street"
"339",1,"Street"
"340",2,"Street"
"341",3,"Street"
"342",1,"Street"
"343",1,"Street"
"344",2,"Street"
"345",2,"Street"
"346",1,"Street"
"347",1,"Street"
"348",1,"Street"
"349",1,"Street"
"350",2,"Street"
"351",2,"Street"
"352",2,"Street"
"353",3,"Street"
"354",3,"Street"
"355",2,"Street"
"356",3,"Street"
"357",2,"Street"
"358",2,"Street"
"359",2,"Street"
"360",2,"Street"
"361",2,"Street"
"362",2,"Street"
"363",2,"Street"
"364",2,"Street"
"365",1,"Street"
"366",1,"Street"
"367",2,"Street"
"368",1,"Street"
"369",1,"Street"
"370",1,"Street"
"371",1,"Street"
"372",1,"Street"
"373",1,"Street"
"374",1,"Street"
"375",1,"Street"
"376",2,"Street"
"377",3,"Street"
"378",2,"Street"
"379",1,"Street"
"380",2,"Street"
"381",1,"Street"
"382",1,"Street"
"383",2,"Street"
"384",1,"Street"
"385",1,"Street"
"386",2,"Street"
"387",1,"Street"
"388",2,"Street"
"389",2,"Street"
"390",3,"Street"
"391",3,"Street"
"392",2,"Street"
"393",1,"Street"
"394",3,"Street"
"395",3,"Street"
"396",1,"Street"
"397",1,"Street"
"398",4,"Street"
"399",1,"Street"
"400",2,"Street"
"401",3,"Street"
"402",2,"Street"
"403",1,"Street"
"404",2,"Street"
"405",1,"Street"
"406",2,"Street"
"407",3,"Street"
"408",3,"Street"
"409",2,"Street"
"410",4,"Street"
"411",2,"Street"
"412",1,"Street"
"413",5,"Street"
"414",2,"Street"
"415",3,"Street"
"416",4,"Street"
"417",3,"Street"
"418",4,"Street"
"419",4,"Street"
"420",3,"Street"
"421",6,"Street"
"422",3,"Street"
"423",4,"Street"
"424",2,"Street"
"425",2,"Street"
"426",4,"Street"
"427",3,"Street"
"428",2,"Street"
"429",2,"Street"
"430",3,"Street"
"431",5,"Street"
"432",3,"Street"
"433",3,"Street"
"434",2,"Street"
"435",2,"Street"
"436",4,"Street"
"437",4,"Street"
"438",4,"Street"
"439",5,"Street"
"440",1,"Street"
"441",1,"Street"
"442",1,"Street"
"443",1,"Street"
"444",1,"Street"
"445",1,"Street"
"446",1,"Street"
"447",1,"Street"
"448",1,"Street"
"449",1,"Street"
"450",1,"Street"
"451",1,"Street"
"452",1,"Street"
"453",1,"Street"
"454",1,"Street"
"455",1,"Street"
"456",1,"Street"
"457",1,"Street"
"458",2,"Street"
"459",1,"Street"
"460",1,"Street"
"461",1,"Street"
"462",1,"Street"
"463",1,"Street"
"464",2,"Street"
"465",1,"Street"
"466",2,"Street"
"467",2,"Street"
"468",2,"Street"
"469",2,"Street"
"470",2,"Street"
"471",2,"Street"
"472",2,"Street"
"473",2,"Street"
"474",2,"Street"
"475",2,"Street"
"476",2,"Street"
"477",2,"Street"
"478",2,"Street"
"479",2,"Street"
"480",2,"Street"
"481",2,"Street"
"482",3,"Street"
"483",2,"Street"
"484",2,"Street"
"485",2,"Street"
"486",3,"Street"
"487",3,"Street"
"488",3,"Street"
"489",3,"Street"
"490",3,"Street"
"491",2,"Street"
"492",3,"Street"
"493",3,"Street"
"494",2,"Street"
"495",3,"Street"
"496",3,"Street"
"497",3,"Street"
"498",3,"Street"
"499",3,"Street"
"500",3,"Street"
"501",3,"Street"
"502",3,"Street"
"503",3,"Street"
"504",3,"Street"
"505",1,"Permanent"
"506",1,"Permanent"
"507",1,"Permanent"
"508",1,"Permanent"
"509",1,"Permanent"
"510",1,"Permanent"
"511",1,"Permanent"
"512",1,"Permanent"
"513",1,"Permanent"
"514",1,"Permanent"
"515",1,"Permanent"
"516",1,"Permanent"
"517",1,"Permanent"
"518",1,"Permanent"
"519",1,"Permanent"
"520",1,"Permanent"
"521",1,"Permanent"
"522",1,"Permanent"
"523",1,"Permanent"
"524",1,"Permanent"
"525",1,"Permanent"
"526",1,"Permanent"
"527",2,"Permanent"
"528",2,"Permanent"
"529",2,"Permanent"
"530",2,"Permanent"
"531",2,"Permanent"
"532",2,"Permanent"
"533",2,"Permanent"
"534",2,"Permanent"
"535",2,"Permanent"
"536",2,"Permanent"
